Accession	Host	Species	Location	Author	Reference	Pubmed	Gene	Date
EF102325	Parmeliella triptophylla	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102326	Peltigera leucophlebia	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102327	Peltigera leucophlebia	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102328	Peltigera leucophlebia	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102329	Peltigera leucophlebia	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102330	Peltigera leucophlebia	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102331	Peltigera leucophlebia	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102332	Peltigera leucophlebia	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102333	Peltigera malacea	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102334	Peltigera membranacea	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102335	Peltigera membranacea	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102336	Peltigera neopolydactyla	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102337	Peltigera neopolydactyla	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102338	Peltigera praetextata	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102339	Peltigera praetextata	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102340	Peltigera praetextata	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102341	Peltigera praetextata	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102342	Peltigera praetextata	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102343	Peltigera praetextata	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102344	Peltigera praetextata	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102345	Peltigera praetextata	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102346	Peltigera sp.	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102347	Pseudocyphellaria crocata	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EU672828	Peltigera didactyla	Nostoc sp.		Lei	Unpublished		rbcX	130819
EU672829	Peltigera didactyla	Nostoc sp.		Lei	Unpublished		rbcX	130819
EU672830	Peltigera didactyla	Nostoc sp.		Lei	Unpublished		rbcX	130819
EU877460	Collema crim	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877461	Collema auriforme	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877462	Collema auriforme	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877463	Collema fasciculare	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877464	Collema fasciculare	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877465	Collema flaccidum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877466	Collema flaccidum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877467	Collema fragile	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877468	Collema fragile	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877469	Collema furfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877470	Collema furfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877471	Collema furfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877472	Collema furfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877473	Collema nigrescens	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877474	Collema nigrescens	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877475	Collema nigrescens	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877476	Collema polycarpon	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877477	Collema polycarpon	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877478	Collema subnigrescens	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877479	Collema subnigrescens	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877480	Collema subnigrescens	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877481	Collema tenax	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877482	Collema tenax	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877483	Collema tenax	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877484	Leptogium austroamericanum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877485	Leptogium austroamericanum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877486	Leptogium azureum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877487	Leptogium azureum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877488	Leptogium azureum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877489	Leptogium brebissonii	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877490	Leptogium brebissonii	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877491	Leptogium corniculatum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877492	Leptogium corniculatum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877493	Leptogium corticola	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877494	Leptogium corticola	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877495	Leptogium cyanescens	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877496	Leptogium cyanescens	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877497	Leptogium cyanescens	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877498	Leptogium furfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877499	Leptogium furfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877500	Leptogium furfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877501	Leptogium furfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877502	Leptogium furfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877503	Leptogium furfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877504	Leptogium furfuraceum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877505	Leptogium gelatinosum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877506	Leptogium gelatinosum	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877507	Leptogium liehenoides	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877508	Leptogium liehenoides	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877509	Leptogium liehenoides	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877510	Leptogium liehenoides	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
EU877511	Leptogium liehenoides	Nostoc sp.		Otalora	Mol. Phylogenet. Evol. 56 (3), 1089-1095 (2010)	20493269	rbcX	130819
