EU282432	Siberian permafrost	Nostoc sp.	195-A22	 	Vishnivetskaya	"(in) Margesin,R. (Ed.); PERMAFROST SOILS: 73-84; Springer-Verlag Berlin Heidelberg (2009)"	 
DQ185205	Peltigera rufescens	Nostoc sp.	Mollenhauer 1:1-065	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185206	Peltigera didactyla	Nostoc sp.	Mollenhauer 1:1-066	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185207	Peltigera didactyla	Nostoc sp.	Mollenhauer 1:1-067	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185208	Geosiphon pyriforme 	Nostoc sp.	Mollenhauer 1:1-088	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185209	Anthoceros sp. 	Nostoc sp.	Mollenhauer 1:1-106b2	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185210	Encephalartos natalensis 	Nostoc sp.	Mollenhauer 1:1-108	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185211	Blasia pusilla	Nostoc sp.	Mollenhauer 1:1-115	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185212	Blasia pusilla	Nostoc sp.	Mollenhauer 1:1-125	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185213	Anthoceros sp. 	Nostoc sp.	Mollenhauer 1:1-150b	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185214	Peltigera rufescens	Nostoc sp.	Mollenhauer 94.1	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185215	Peltigera rufescens	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185216	Collema crispum	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185217	Peltigera rufescens	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185218	Peltigera rufescens	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185219	Peltigera rufescens	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185220	Peltigera didactyla	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185221	Peltigera rufescens	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185222	Peltigera canina	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185223	free-living	Nostoc commune 	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185224	Peltigera neopolydactyla	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185225	Peltigera canina	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185226	Peltigera membranacea	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185227	Peltigera membranacea	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185228	Peltigera horizontalis	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185229	Sticta beauvoisii	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
